manifestacao,norma,trecho,secao
infiltração,NBR 15575-1,"A infiltração por paredes externas pode ser causada por falhas na estanqueidade dos sistemas de vedação, ausência de pingadeiras, má execução das juntas de dilatação ou inexistência de impermeabilização adequada. É recomendada a verificação das interfaces entre alvenaria e esquadrias, pontos de acúmulo de água, presença de fissuras e integridade dos revestimentos. O ensaio de estanqueidade e a inspeção visual são fundamentais na identificação das falhas.",4.3.1
infiltração,NBR 9574,"A falha na execução do sistema de impermeabilização pode gerar infiltrações ascendentes ou localizadas em pontos singulares como ralos, rodapés, juntas ou embutidos hidráulicos. Devem ser avaliadas as condições de sobreposição das mantas, continuidade das camadas impermeáveis, existência de reentrâncias não tratadas e falhas de aderência. A norma recomenda cuidados especiais na preparação da base e no detalhamento dos encontros entre planos.",5.2
fissuração,NBR 6118,"Fissuras longitudinais em vigas podem estar associadas a esforços de flexão ou cisalhamento, especialmente em regiões de armadura concentrada. Recomenda-se a verificação da localização das fissuras em relação aos apoios e seções críticas, bem como a avaliação da abertura máxima admissível conforme Tabela 13. Deve-se ainda analisar se a fissura está ativa (em evolução) ou estabilizada, e se há presença de armaduras expostas ou sinais de corrosão.",7.4.3
fissuração,NBR 12722,"A presença de fissuras em elementos estruturais pode decorrer da retração do concreto, movimentações térmicas ou recalques diferenciais. É fundamental inspecionar a direção da fissura (vertical, diagonal ou horizontal), sua profundidade e a existência de mudanças de rigidez ou material no entorno. As inspeções devem seguir diretrizes da NBR 9452 e recomenda-se a análise da atividade da fissura, por meio de acompanhamento ao longo do tempo ou marcações de controle.",6.1
desplacamento,NBR 9452,"O desplacamento de revestimentos pode indicar falha de aderência entre o substrato e a argamassa, associada à presença de umidade, movimentações estruturais ou uso inadequado de aditivos. Devem ser avaliados os métodos de preparo da superfície, o tipo de chapisco utilizado, a existência de trincas prévias no substrato e a espessura da camada destacada. A norma orienta inspeções por percussão manual e mapeamento das áreas comprometidas.",5.2.1
desplacamento,NBR 13749,"A execução do revestimento deve assegurar aderência mecânica e compatibilidade de deformações com o substrato. O desplacamento pode resultar da ausência de juntas de movimentação, cura inadequada, exposição precoce à umidade ou utilização de materiais incompatíveis. Deve-se investigar a uniformidade da aplicação, presença de bolhas ou áreas ocas, e realizar cortes exploratórios para análise da interface.",4.5
mancheamento,NBR 15575-1,"Mancheamento superficial pode estar relacionado à absorção desigual de umidade, presença de sais solúveis nos materiais ou falhas na camada de proteção hidrofugada. A norma recomenda verificação do tipo de revestimento, orientação solar da fachada, pontos de acúmulo de água e existência de eflorescência. Ensaios de absorção de água por capilaridade e análise laboratorial de amostras podem auxiliar no diagnóstico.",4.3.4
mancheamento,NBR 13755,"A escolha inadequada de materiais cerâmicos ou argamassas incompatíveis pode favorecer o surgimento de manchas, principalmente quando não se respeita a porosidade e absorção dos componentes. Devem ser avaliadas as técnicas de assentamento, o uso de aditivos e a proteção contra agentes agressivos urbanos. Manchas podem surgir também por reações químicas superficiais, sendo recomendada inspeção visual com registro fotográfico periódico.",3.6
eflorescência,NBR 13749,"A eflorescência é causada pela dissolução de sais solúveis presentes em argamassas, blocos ou concretos, os quais migram para a superfície por meio da água. A manifestação indica presença recorrente de umidade e pode ser intensificada por variações térmicas ou deficiências na impermeabilização. A norma orienta a identificação da origem da umidade e substituição de materiais contaminados, quando necessário.",5.1
eflorescência,NBR 15575-1,"Para evitar a eflorescência, devem ser utilizados materiais com baixa concentração de sais solúveis e executados sistemas de barreira à umidade. É recomendada a inspeção da base, das juntas de assentamento e da existência de água empoçada ou ascendente. Tratamentos corretivos incluem limpeza superficial com escova seca e correção das fontes de umidade em subsuperfície.",4.5.2
